Source,Winner,Winner Score,Loser,Loser Score,GameID,GameIDInt,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore,Spread,Total
DanNFL,Falcons,28,Panthers,19,ATLCAR,4765713,ATL,Falcons,Atlanta Falcons,CAR,Panthers,Carolina Panthers,28,19,5.5,44
DanNFL,Vikings,23,Bengals,21,CINMIN,4765714,CIN,Bengals,Cincinnati Bengals,MIN,Vikings,Minnesota Vikings,21,23,-3,42
DanNFL,Texans,21,Jaguars,20,HOUJAC,4765715,HOU,Texans,Houston Texans,JAC,Jaguars,Jacksonville Jaguars,21,20,-1.5,44
DanNFL,Packers,27,Browns,14,GBCLE,4765716,GB,Packers,Green Bay Packers,CLE,Browns,Cleveland Browns,27,14,7,41.5
DanNFL,Chargers,23,Broncos,20,DENLAC,4765717,DEN,Broncos,Denver Broncos,LAC,L.A. Chargers,Los Angeles Chargers,20,20,-3,46
DanNFL,Seahawks,24,Saints,15,NOSEA,4765718,NO,Saints,New Orleans Saints,SEA,Seahawks,Seattle Seahawks,15,24,-7,42
DanNFL,49ers,26,Cardinals,22,ARISF,4765719,ARI,Cardinals,Arizona Cardinals,SF,49ers,San Francisco 49ers,22,26,-3,44.5
DanNFL,Cowboys,30,Bears,27,DALCHI,4765720,DAL,Cowboys,Dallas Cowboys,CHI,Bears,Chicago Bears,30,27,1,50.5
DanNFL,Chiefs,24,Giants,20,KCNYG,4765721,KC,Chiefs,Kansas City Chiefs,NYG,N.Y. Giants,New York Giants,24,20,6,45
DanNFL,Ravens,31,Lions,26,DETBAL,4765722,DET,Lions,Detroit Lions,BAL,Ravens,Baltimore Ravens,26,31,-4.5,53
DataSkrive,Bills,32,Dolphins,15,MIABUF,4765707,MIA,Dolphins,Miami Dolphins,BUF,Bills,Buffalo Bills,15,32,-11.5,50.5
DataSkrive,Colts,25,Titans,21,INDTEN,4765708,IND,Colts,Indianapolis Colts,TEN,Titans,Tennessee Titans,25,21,4,43.5
DataSkrive,Steelers,25,Patriots,17,PITNE,4765709,PIT,Steelers,Pittsburgh Steelers,NE,Patriots,New England Patriots,25,17,1.5,44.5
DataSkrive,Buccaneers,32,Jets,15,NYJTB,4765710,NYJ,Jets,New York Jets,TB,Buccaneers,Tampa Bay Buccaneers,15,32,-6.5,43.5
DataSkrive,Commanders,32,Raiders,16,LVWAS,4765711,LV,Raiders,Las Vegas Raiders,WAS,Commanders,Washington Commanders,16,32,-3.5,44
DataSkrive,Eagles,28,Rams,16,LARPHI,4765712,LAR,Rams,Los Angeles Rams,PHI,Eagles,Philadelphia Eagles,16,28,-3,44.5
DataSkrive,Falcons,29,Panthers,21,ATLCAR,4765713,ATL,Falcons,Atlanta Falcons,CAR,Panthers,Carolina Panthers,29,21,5.5,44
DataSkrive,Vikings,30,Bengals,19,CINMIN,4765714,CIN,Bengals,Cincinnati Bengals,MIN,Vikings,Minnesota Vikings,19,30,-3,42
DataSkrive,Texans,25,Jaguars,19,HOUJAC,4765715,HOU,Texans,Houston Texans,JAC,Jaguars,Jacksonville Jaguars,25,19,-1.5,44
DataSkrive,Packers,30,Browns,13,GBCLE,4765716,GB,Packers,Green Bay Packers,CLE,Browns,Cleveland Browns,30,13,7,41.5
DataSkrive,Chargers,22,Broncos,21,DENLAC,4765717,DEN,Broncos,Denver Broncos,LAC,L.A. Chargers,Los Angeles Chargers,21,21,-3,46
DataSkrive,Seahawks,28,Saints,15,NOSEA,4765718,NO,Saints,New Orleans Saints,SEA,Seahawks,Seattle Seahawks,15,28,-7,42
DataSkrive,Cardinals,25,49ers,22,ARISF,4765719,ARI,Cardinals,Arizona Cardinals,SF,49ers,San Francisco 49ers,25,22,-3,44.5
DataSkrive,Bears,24,Cowboys,20,DALCHI,4765720,DAL,Cowboys,Dallas Cowboys,CHI,Bears,Chicago Bears,20,24,1,50.5
DataSkrive,Chiefs,28,Giants,12,KCNYG,4765721,KC,Chiefs,Kansas City Chiefs,NYG,N.Y. Giants,New York Giants,28,12,6,45
DataSkrive,Ravens,27,Lions,26,DETBAL,4765722,DET,Lions,Detroit Lions,BAL,Ravens,Baltimore Ravens,26,27,-4.5,53
Dimers,BILLS,31,DOLPHINS,19,MIABUF,4765707,MIA,Dolphins,Miami Dolphins,BUF,Bills,Buffalo Bills,19,31,-11.5,50.5
Dimers,COLTS,24,TITANS,20,INDTEN,4765708,IND,Colts,Indianapolis Colts,TEN,Titans,Tennessee Titans,24,20,4,43.5
Dimers,STEELERS,23,PATRIOTS,21,PITNE,4765709,PIT,Steelers,Pittsburgh Steelers,NE,Patriots,New England Patriots,23,21,1.5,44.5
Dimers,BUCCANEERS,26,JETS,19,NYJTB,4765710,NYJ,Jets,New York Jets,TB,Buccaneers,Tampa Bay Buccaneers,19,26,-6.5,43.5
Dimers,COMMANDERS,25,RAIDERS,21,LVWAS,4765711,LV,Raiders,Las Vegas Raiders,WAS,Commanders,Washington Commanders,21,25,-3.5,44
Dimers,EAGLES,24,RAMS,21,LARPHI,4765712,LAR,Rams,Los Angeles Rams,PHI,Eagles,Philadelphia Eagles,21,24,-3,44.5
Dimers,FALCONS,24,PANTHERS,19,ATLCAR,4765713,ATL,Falcons,Atlanta Falcons,CAR,Panthers,Carolina Panthers,24,19,5.5,44
Dimers,VIKINGS,23,BENGALS,21,CINMIN,4765714,CIN,Bengals,Cincinnati Bengals,MIN,Vikings,Minnesota Vikings,21,23,-3,42
Dimers,JAGUARS,23,TEXANS,21,HOUJAC,4765715,HOU,Texans,Houston Texans,JAC,Jaguars,Jacksonville Jaguars,21,23,-1.5,44
Dimers,PACKERS,24,BROWNS,18,GBCLE,4765716,GB,Packers,Green Bay Packers,CLE,Browns,Cleveland Browns,24,18,7,41.5
Dimers,CHARGERS,24,BRONCOS,22,DENLAC,4765717,DEN,Broncos,Denver Broncos,LAC,L.A. Chargers,Los Angeles Chargers,22,22,-3,46
Dimers,SEAHAWKS,24,SAINTS,17,NOSEA,4765718,NO,Saints,New Orleans Saints,SEA,Seahawks,Seattle Seahawks,17,24,-7,42
Dimers,49ERS,24,CARDINALS,21,ARISF,4765719,ARI,Cardinals,Arizona Cardinals,SF,49ers,San Francisco 49ers,21,24,-3,44.5
Dimers,BEARS,25,COWBOYS,24,DALCHI,4765720,DAL,Cowboys,Dallas Cowboys,CHI,Bears,Chicago Bears,24,25,1,50.5
Dimers,CHIEFS,24,GIANTS,20,KCNYG,4765721,KC,Chiefs,Kansas City Chiefs,NYG,N.Y. Giants,New York Giants,24,20,6,45
DRatings,Dolphins,15,Bills,33,MIABUF,4765707,MIA,Dolphins,Miami Dolphins,BUF,Bills,Buffalo Bills,15,33,-11.5,50.5
DRatings,Colts,22,Titans,19,INDTEN,4765708,IND,Colts,Indianapolis Colts,TEN,Titans,Tennessee Titans,22,19,4,43.5
DRatings,Steelers,22,Patriots,19,PITNE,4765709,PIT,Steelers,Pittsburgh Steelers,NE,Patriots,New England Patriots,22,19,1.5,44.5
