Source,Winner,Winner Score,Loser,Loser Score,GameID,GameIDInt,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore,Spread,Total
DataSkrive,Seahawks,23,Texans,18,HOUSEA,4765778,HOU,Texans,Houston Texans,SEA,Seahawks,Seattle Seahawks,18,23,-3,40.5
Jeremy Cluff,Texans,20,Seahawks,17,HOUSEA,4765778,HOU,Texans,Houston Texans,SEA,Seahawks,Seattle Seahawks,20,17,-3,40.5
VinnieIyer,Seahawks,23,Texans,17,HOUSEA,4765778,HOU,Texans,Houston Texans,SEA,Seahawks,Seattle Seahawks,17,23,-3,40.5
MaldonadoESPN,Seahawks,26,Texans,21,HOUSEA,4765778,HOU,Texans,Houston Texans,SEA,Seahawks,Seattle Seahawks,21,26,-3,40.5
MoodyESPN,Seahawks,24,Texans,13,HOUSEA,4765778,HOU,Texans,Houston Texans,SEA,Seahawks,Seattle Seahawks,13,24,-3,40.5
WalderESPN,Seahawks,20,Texans,17,HOUSEA,4765778,HOU,Texans,Houston Texans,SEA,Seahawks,Seattle Seahawks,17,20,-3,40.5
Dimers,SEAHAWKS,22,TEXANS,19,HOUSEA,4765778,HOU,Texans,Houston Texans,SEA,Seahawks,Seattle Seahawks,19,22,-3,40.5
JarrettBell,Seahawks,24,Texans,23,HOUSEA,4765778,HOU,Texans,Houston Texans,SEA,Seahawks,Seattle Seahawks,23,24,-3,40.5
NickBrinkerhoff,Texans,21,Seahawks,16,HOUSEA,4765778,HOU,Texans,Houston Texans,SEA,Seahawks,Seattle Seahawks,21,16,-3,40.5
ChrisBumbaca,Seahawks,24,Texans,17,HOUSEA,4765778,HOU,Texans,Houston Texans,SEA,Seahawks,Seattle Seahawks,17,24,-3,40.5
NateDavis,Seahawks,23,Texans,21,HOUSEA,4765778,HOU,Texans,Houston Texans,SEA,Seahawks,Seattle Seahawks,21,23,-3,40.5
TylerDragon,Seahawks,26,Texans,24,HOUSEA,4765778,HOU,Texans,Houston Texans,SEA,Seahawks,Seattle Seahawks,24,26,-3,40.5
