Source,Winner,Winner Score,Loser,Loser Score,GameID,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore
KahlerESPN,Vikings,23,Texans,21,HOUMIN,HOU,Texans,Houston Texans,MIN,Vikings,Minnesota Vikings,21,23
JarrettBell,Jets,20,Patriots,13,NENYJ,NE,Patriots,New England Patriots,NYJ,N.Y. Jets,New York Jets,13,20
ChrisBumbaca,Jets,18,Patriots,15,NENYJ,NE,Patriots,New England Patriots,NYJ,N.Y. Jets,New York Jets,15,18
NateDavis,Jets,24,Patriots,20,NENYJ,NE,Patriots,New England Patriots,NYJ,N.Y. Jets,New York Jets,20,24
TylerDragon,Jets,22,Patriots,16,NENYJ,NE,Patriots,New England Patriots,NYJ,N.Y. Jets,New York Jets,16,22
MichaelMiddlehurst-Schwartz,Jets,19,Patriots,9,NENYJ,NE,Patriots,New England Patriots,NYJ,N.Y. Jets,New York Jets,9,19
LorenzoReyes,Jets,21,Patriots,17,NENYJ,NE,Patriots,New England Patriots,NYJ,N.Y. Jets,New York Jets,17,21
JarrettBell,Colts,20,Bears,16,CHIIND,CHI,Bears,Chicago Bears,IND,Colts,Indianapolis Colts,16,20
ChrisBumbaca,Colts,24,Bears,21,CHIIND,CHI,Bears,Chicago Bears,IND,Colts,Indianapolis Colts,21,24
NateDavis,Bears,20,Colts,17,CHIIND,CHI,Bears,Chicago Bears,IND,Colts,Indianapolis Colts,20,17
TylerDragon,Colts,20,Bears,17,CHIIND,CHI,Bears,Chicago Bears,IND,Colts,Indianapolis Colts,17,20
MichaelMiddlehurst-Schwartz,Colts,21,Bears,17,CHIIND,CHI,Bears,Chicago Bears,IND,Colts,Indianapolis Colts,17,21
LorenzoReyes,Colts,19,Bears,12,CHIIND,CHI,Bears,Chicago Bears,IND,Colts,Indianapolis Colts,12,19
JarrettBell,Browns,24,Giants,16,NYGCLE,NYG,Giants,New York Giants,CLE,Browns,Cleveland Browns,16,24
ChrisBumbaca,Browns,19,Giants,16,NYGCLE,NYG,Giants,New York Giants,CLE,Browns,Cleveland Browns,16,19
NateDavis,Browns,27,Giants,17,NYGCLE,NYG,Giants,New York Giants,CLE,Browns,Cleveland Browns,17,27
